NAMA,IDPEL,ALAMAT,TARIF,DAYA,KDPT_2,TAGSASI / METER,UNITUP,WILKER,ULP,NOM MCB,X,Y,MERK METER,TYPE METER,NOMOR METER,NAMA GARDU,NO. TIANG,,
PJU GARDU 134,514060727244,JL SEMANDING,P3,7700.0,1.0,METER,51406.0,KAB,PARE,3500.0,-7.766399,112.210765,MELCOINDA,INDO,94003642,EF134,A5D9,,
PUD KAB DATI 2,514060063970,JL KEDIRI,P3,720.0,3.0,TAGSASI 375,51406.0,KAB,PARE,,-7.766577,112.164152,,,0,EF170,D3,,
PJ SIMPANG 4 GAYAM,514060595333,DN SIMPANG EMPAT,P3,500.0,3.0,TAGSASI 375,51406.0,KAB,PARE,,-7.766582,112.196756,,,13,EF002,B0,,
PJU BANGKOK,514060621849,DN BANGKOK,P3,320.0,3.0,TAGSASI 375,51406.0,KAB,PARE,,-7.766582,112.196780,,,,EF002,B0,,
PJU BANGKOK,514060622124,DN BANGKOK,P3,500.0,3.0,TAGSASI 375,51406.0,KAB,PARE,,-7.766592,112.196750,,,,EF002,B0,,
PJU,514060382190,JL AHMAD YANI,P3,5500.0,1.0,METER,51406.0,KAB,PARE,2500.0,-7.766594,112.196778,MELCOINDA,INDO,94002817,EF002,B0,,
PJU SEMANDING,514061239840,DK TRETEK NO 0 PARE,P3,2200.0,1.0,METER,51406.0,KAB,PARE,1000.0,-7.766718,112.215386,MELCOINDA,MS98E,8798730,EF134,A5,,
LAMPU HIAS P SUDIRMAN,514060622364,DN PB SUDIRMAN,P3,500.0,3.0,TAGSASI 375,51406.0,KAB,PARE,,-7.766733,112.191033,,,,EF001,B0,,
PJU DUWET,514060622157,DN DUWET,P3,7700.0,3.0,TAGSASI 375,51406.0,KAB,PARE,,-7.766737,112.191045,,,,EF001,B0,,
PENERANGAN JALAN GD1,514060727060,JL PB SUDIRMAN,P3,11000.0,1.0,METER,51406.0,KAB,PARE,5000.0,-7.766737,112.191060,MELCOINDA,MS98E,8940771,EF001,B0,,
PJU DS DUWET ( 174 ),514060657787,DN DUWET,P3,2720.0,3.0,TAGSASI 375,51406.0,KAB,PARE,,-7.766859,112.190698,,,,EF001,D1C1,,
PJU GARDU GD 1,514060727181,JL PB SUDIRMAN,P3,7700.0,1.0,METER,51406.0,KAB,PARE,3500.0,-7.766870,112.190692,SMARTMETER,SMI 200 S,150009833,EF001,D1C1,,
PENERANGAN JALAN,514060041609,JL SETASIUN,P3,500.0,3.0,TAGSASI 375,51406.0,KAB,PARE,,-7.767421,112.192782,,,,EF123,B1C3B1,,
PJU PAGU,514010666056,DS PAGU,P3,3040.0,3.0,TAGSASI 375,51401.0,KAB,KEDIRI KOTA,,-7.767919,112.086498,,,,EA218,A0,,
PJU SITIMERTO,514010666144,DN SITIMERTO,P3,5500.0,1.0,METER,51401.0,KAB,KEDIRI KOTA,2500.0,-7.767948,112.086475,SMARTMETER,SMI 200 S,12556426,EA218,A0,,
PJU PAGU (218),514010171334,DS PAGU,P3,5500.0,1.0,METER,51401.0,KAB,KEDIRI KOTA,2500.0,-7.768015,112.08646,SMARTMETER,SMI 200 S,16000000,EA218,C0,,
PJU PAGU (094),514010585317,DS PAGU,P3,5500.0,1.0,METER,51401.0,KAB,KEDIRI KOTA,2500.0,-7.768032,112.086451,ADTECH,ADOONAT58,35199,EA218,C0,,
PJU SITI MERTO,514010585366,DS SITI MERTO,P3,240.0,3.0,TAGSASI 375,51401.0,KAB,KEDIRI KOTA,,-7.768056,112.086449,,,,EA218,C0,,
PJU DS JABON EN217,514111109287,DS JABON,P3,2200.0,1.0,METER,51411.0,KAB,GROGOL,1000.0,-7.768167,112.02029,SMARTMETER,SMI 200 S,172426381,EN217,B3C7,,
PJU GARDU 10 D,514060727210,JL PB SUDIRMAN,P3,7700.0,1.0,METER,51406.0,KAB,PARE,3500.0,-7.768178,112.194318,MELCOINDA,INDO,94002816,EF308,B1A8,,
PJU PK 5 PARE,514060397054,JL PANGLIMA S,P3,7700.0,1.0,METER,51406.0,KAB,PARE,3500.0,-7.768190,112.194299,MELCOINDA,INDO,94003713,EF308,B1A8,,
PJU TERTEK,514060622181,DN TERTEK,P3,111.0.0,3.0,TAGSASI 375,51406.0,KAB,PARE,,-7.768254,112.215164,,,,EF134,A0,,
PENERANGAN JALAN,514060041641,JL MUKABIOSKOPMUSTIKA,P3,500.0,3.0,TAGSASI 375,51406.0,KAB,PARE,,-7.768255,112.195040,,,,EF010,D2,,
PJU TERTEK,514060622199,DN TERTEK,P3,960.0,3.0,TAGSASI 375,51406.0,KAB,PARE,,-7.768274,112.215162,,,,EF134,C0,,
PJU DS DARUNGAN T7,514060760475,DN DARUNGAN,P3,9120.0,3.0,TAGSASI 375,51406.0,KAB,PARE,,-7.768345,112.156170,,,,EF007,D1,,
PJU DARUNGAN T.07,514061240353,DN DS DARUNGAN NO 0 DARUNGAN,P3,5500.0,1.0,METER,51406.0,KAB,PARE,2500.0,-7.768356,112.156165,MELCOINDA,MS98E,8798061,EF007,D1,,
LAMPU HIAS P SUDIRMAN,514060622372,DN PB SUDIRMAN,P3,500.0,3.0,TAGSASI 375,51406.0,KAB,PARE,,-7.768585,112.195907,,,,EF010,D0,,
PJU GARDU 10,514060727277,JL KAWI,P3,2200.0,1.0,METER,51406.0,KAB,PARE,1000.0,-7.768599,112.195943,CANNET,DDS137,50903697840,EF010,B0,,
TAMAN WISATA RINGIN BUDHO,514060807124,DN PB SUDIRMAN,P3,1300.0,1.0,METER,51406.0,KAB,PARE,591.0,-7.768632,112.196468,MELCOINDA,MS98E,9661091,EF010,B1,,
PJU BANYAKAN EN431 (M),514110590313,DS BANYAKAN,P3,4400.0,1.0,METER,51411.0,KAB,GROGOL,2000.0,-7.768657,111.980743,SMARTMETER,SMI 200 S,130272415,EN431,D0,,
PJU KENCONG T.236,514061240473,DN DS KENCONG NO 0 KENCONG,P3,5500.0,1.0,METER,51406.0,KAB,PARE,2500.0,-7.768932,112.228990,MELCOINDA,MS98E,8797823,EF236,B5,,
PJU GAMPENG (193),514010782087,DS GAMPENG,P3,4400.0,1.0,METER,51401.0,KAB,KEDIRI KOTA,2000.0,-7.76899,112.026471,METBELOSA,OB91LU,2491005,EA193,A0,,
PJU EF010,514060382182,JL WR SUPRATMAN,P3,11000.0,1.0,METER,51406.0,KAB,PARE,5000.0,-7.769035,112.196392,MELCOINDA,INDO,94003648,EF010,BB1C1,,
PJU GAMPENG,514010666271,DS GAMPENG,P3,4400.0,3.0,TAGSASI 375,51401.0,KAB,KEDIRI KOTA,,-7.769056,112.02663,,,,EA193,A0,,
P J U GAMPENG REJO,514010608791,DS GAMPENGREJO,P3,160.0,3.0,TAGSASI 375,51401.0,KAB,KEDIRI KOTA,,-7.769076,112.026436,,,,EA193,C0,,
PJ JL PULOSARI PARE / 125,514060651073,DN PULOSARI,P3,980.0,3.0,TAGSASI 375,51406.0,KAB,PARE,,-7.769225,112.201360,,,,EF125,D0,,
PJU DS SUMBERBENDO,514061297036,DS PELEMAHAN,P3,3500.0,1.0,METER,51406.0,KAB,PARE,1591.0,-7.769232,112.168562,SANXING,CSI01,4518368673,EF495,D2C3B10,,
PJU PARE EF125 T003,514060880775,DS PENAGGUNGAN,P3,3500.0,1.0,METER,51406.0,KAB,PARE,1591.0,-7.769315,112.201629,METBELOSA,OB91LU,2491306,EF125,B2,,
PJU SEMEN ( 530 ),514011047503,DS SEMEN,P3,3500.0,1.0,METER,51401.0,KAB,KEDIRI KOTA,1591.0,-7.769362,112.06142,SMARTMETER,SMI-200S,172274913,EA530,D6,,
PJU DS BANYAKAN EN156 (A),514110826006,DS BANYAKAN,P3,1350.0,3.0,TAGSASI 375,51411.0,KAB,GROGOL,,-7.769459,111.981767,,,,EN168,A1,,
PEMDA KAB KEDIRI,514060009996,JL KEDIRI,P3,2000.0,3.0,TAGSASI 375,51406.0,KAB,PARE,,-7.769468,112.196070,,,0,EF019,D8A1D1,,
PJU SIMPANG EMPAT,514060587538,JL SAMBIREJO,P3,500.0,3.0,TAGSASI 375,51406.0,KAB,PARE,,-7.769570,112.138634,,,,EF282,C2,,
PJU DS KALIPANG 610,514111113083,DS KALIPANG,P3,2200.0,1.0,METER,51411.0,KAB,GROGOL,1000.0,-7.769774,111.915604,SANXING,CSI01,4520035202,EN610,B17,,
PJU PLOSOKLATEN,514060621711,DN BANDULAN,P3,3740.0,3.0,TAGSASI 375,51406.0,KAB,PARE,,-7.770054,112.198780,,,,EF019,D0,,
PJU MASJID,514060621752,DN ARJUNO,P3,1000.0,3.0,TAGSASI 375,51406.0,KAB,PARE,,-7.770061,112.198797,,,,EF019,D0,,
PJU DS ADAN-ADAN T 45,514060760276,DS ADAN - ADAN,P3,3440.0,3.0,TAGSASI 375,51406.0,KAB,PARE,,-7.770386,112.119652,,,,EF045,B5A6,,
PJU DS JATIREJO EN438 (A),514110826184,DS JATIREJO,P3,3450.0,3.0,TAGSASI 375,51411.0,KAB,GROGOL,,-7.770746,111.964251,,,,EN438,C14,,
PENERANGAN JALAN GD28,514060727157,JL WILIS,P3,2200.0,1.0,METER,51406.0,KAB,PARE,1000.0,-7.770976,112.196693,METBELOSA,OB91LU,762547,EF028,D0,,
PJU WR SUPRATMAN EF010,514060727285,DN WR SUPRATMAN,P3,5500.0,1.0,METER,51406.0,KAB,PARE,2500.0,-7.771004,112.196073,SMARTMETER,SMI-200S,212745429,EF010,BBB1C7,,
PJU TAWANG 2,514060729439,DS GEDANG SEWU,P3,1300.0,1.0,METER,51406.0,KAB,PARE,591.0,-7.771236,112.174549,SMARTMETER,SMI 200 S,161595096,EF062,D15,,
PJU GARDU 80 A12,514060727251,DN PANGLIMA POLIM,P3,7700.0,1.0,METER,51406.0,KAB,PARE,3500.0,-7.771367,112.209082,CANNET,DDS137,50903410889,EF126,C2,,
PJU SIMPANG EMPAT,514060563124,DS TERTEK,P3,500.0,3.0,TAGSASI 375,51406.0,KAB,PARE,,-7.771386,112.209075,,,,EF126,C2,,
PJU SAMBIRESIK (484),514010618981,DS SAMBIRESIK,P3,3500.0,1.0,METER,51401.0,KAB,KEDIRI KOTA,1591.0,-7.771629,112.034493,ADTECH,ADOONAT58,28150,EA484,C1,,
PJU SAMBIRESIK,514010666526,DN SAMBIRESIK,P3,3500.0,1.0,METER,51401.0,KAB,KEDIRI KOTA,1591.0,-7.771637,112.034484,ADTECH,ADOONAT58,28146,EA484,C1,,
PJU DS BANYAKAN,514110675522,DS BANYAKAN,P3,5500.0,3.0,TAGSASI 375,51411.0,KAB,GROGOL,,-7.771653,111.982148,,,,EN483,B0,,
PJU BANYAKAN (M),514110665598,DS BANYAKAN,P3,1000.0,1.0,METER,51411.0,KAB,GROGOL,455.0,-7.771669,111.982234,MECOINDO,M2XL3,94006764,EN483,B0,,
PJU MERCURI 12 BUAH,514110590321,DS BANYAKAN,P3,6000.0,3.0,TAGSASI 375,51411.0,KAB,GROGOL,,-7.771689,111.982134,,,,EN483,B0,,
PJU GRAND JABON REGENCY,514111219994,DS GRAND JABON REGENCY,P3,1300.0,1.0,METER,51411.0,KAB,GROGOL,591.0,-7.7718373,112.0131269,SANXING,CSI01,45210034549,EN274,BD0,,
PJU,514060348824,JL NURWAKIT,P3,3500.0,1.0,METER,51406.0,KAB,PARE,1591.0,-7.771893,112.192932,SMARTMETER,SMI-200,38966,EF308,B1C4,,
PJ DS ADAN ADAN,514060651178,DN ADAN ADAN,P3,9010.0,3.0,TAGSASI 375,51406.0,KAB,PARE,,-7.771941,112.116703,,,,EF045,B0,,
PJU MERCURI 7 BUAH,514110590305,DS BANYAKAN,P3,5500.0,3.0,TAGSASI 375,51411.0,KAB,GROGOL,,-7.771989,111.983457,,,,EN156,B0,,
PJU GADUNGAN EF062,514060879432,DN SBR BAGE,P3,3500.0,1.0,METER,51406.0,KAB,PARE,1591.0,-7.771996,112.179412,ITRON,AC2000,10105148,EF062,B0,,
PJU DS PELEM,514060662655,DS PELEM,P3,5500.0,1.0,METER,51406.0,KAB,PARE,2500.0,-7.771999,112.179422,SMARTMETER,SMI 200 S,16266637,EF062,B0,,
PJ DS ADAN ADAN,514060651186,DN ADAN ADAN,P3,3080.0,3.0,TAGSASI 375,51406.0,KAB,PARE,,-7.772620,112.131316,,,,EF047,A0,,
PJU JATIREJO EN437 (M),514110794110,DS DAHU,P3,4400.0,1.0,METER,51411.0,KAB,GROGOL,2000.0,-7.772626,111.957884,SMARTMETER,SMI 200 S,130272410,EN437,AA3,,
PJU SAMBIREJO T.64,514061240042,DN SAMBIREJO NO 0 SAMBIREJO,P3,3500.0,1.0,METER,51406.0,KAB,PARE,1591.0,-7.772811,112.145024,MELCOINDA,MS98E,8798446,EF064,B3,,
PJU BANYAKAN EN156 (M),514110553562,JL RAYA BANYAKAN,P3,4400.0,1.0,METER,51411.0,KAB,GROGOL,2000.0,-7.772962,111.98515,MELCOINDA,MS98E,8307963,EN156,B5,,
PJU DS MANYARAN 163,514111113162,DS MANYARAN,P3,2200.0,1.0,METER,51411.0,KAB,GROGOL,1000.0,-7.773,111.977791,SMARTMETER,SMI 200 S,172427448,EN163,B2,,
PJU MARON EN155 (M),514110590291,DS MARON BANYAKAN,P3,4400.0,1.0,METER,51411.0,KAB,GROGOL,2000.0,-7.773004,111.992546,CANNET,DDS137,50904291478,EN155,B3A10,,
PJU,514060382166,JL LET JEN SUTOYO,P3,4500.0,3.0,TAGSASI 375,51406.0,KAB,PARE,,-7.773220,112.196779,,,,EF003,D0,,
PENERANGAN JALAN GD 3,514060727086,DN LETJEND SUTOYO,P3,2200.0,1.0,METER,51406.0,KAB,PARE,1000.0,-7.773240,112.196805,METBELOSA,LOSA,764684,EF003,B0,,
PJU WONOCATUR,514010666575,DS WONOCATUR,P3,4400.0,1.0,METER,51401.0,KAB,KEDIRI KOTA,2000.0,-7.773271,112.044833,SMARTMETER,SMI 200,12359380,EA319,D5,,
PJU GARDU 3,514060727199,DN LETJEND SUTOYO,P3,7700.0,1.0,METER,51406.0,KAB,PARE,3500.0,-7.773432,112.197003,ITRON,ACE2000,10055631,EF003,B1,,
PJU SIMPANG TIGA,514060565081,JL GEBANG SEWU,P3,500.0,3.0,TAGSASI 375,51406.0,KAB,PARE,,-7.773449,112.186157,,,,EF052,D9,,
PJU DS JABON EN104,514111109437,DS JABON,P3,2200.0,1.0,METER,51411.0,KAB,GROGOL,1000.0,-7.773729,112.013976,SMARTMETER,SMI 200 S,172425244,EN221,D1C4,,
PJU DS JATIREJO BANYAKAN,514110675157,DS JATIREJO BANYAKAN,P3,10600.0,3.0,TAGSASI 375,51411.0,KAB,GROGOL,,-7.773768,111.957292,,,,EN437,A0,,
PJU  MOJOKEREP,514060880718,DN BANGI,P3,3500.0,1.0,METER,51406.0,KAB,PARE,1591.0,-7.774198,112.217250,METBELOSA,OB91LU,2491429,EF133,A1,,
PJU DS GEDANGSEWU,514060662648,DS GEDANG SEWU,P3,9760.0,3.0,TAGSASI 375,51406.0,KAB,PARE,,-7.774409,112.179671,,,,EF142,A1,,
PJU KNT KEC BANYAKAN (M),514110665601,DS BANYAKAN,P3,1640.0,1.0,METER,51411.0,KAB,GROGOL,745.0,-7.774419,111.973106,CANNET,DDS137,50903412612,EN163,D9,,
PJU SEMERU,514060729447,DN SEMERU,P3,1300.0,1.0,METER,51406.0,KAB,PARE,591.0,-7.774456,112.199481,METBELOSA,LOSA,761761,EF124,C2,,
PJU DS JABON,514110675140,DS JABON KEC BANYAKAN,P3,10600.0,3.0,TAGSASI 375,51411.0,KAB,GROGOL,,-7.774579,112.010284,,,,EN104,D0,,
PJU TERTEK,514060622202,DN TERTEK,P3,1380.0,3.0,TAGSASI 375,51406.0,KAB,PARE,,-7.774613,112.217007,,,,EF133,A0,,
PJU TERTEK,514060622210,DN TERTEK,P3,7320.0,3.0,TAGSASI 375,51406.0,KAB,PARE,,-7.774637,112.217001,,,,EF133,C0,,
PJU GEDANG SEWU D,514060749599,DN GEDANG SEWU,P3,2200.0,1.0,METER,51406.0,KAB,PARE,1000.0,-7.774966,112.189601,METBELOSA,LOSA,2477837,EF052,D0,,
PJU GENENGAN,514010666289,DS GENENGAN,P3,2800.0,3.0,TAGSASI 375,51401.0,KAB,KEDIRI KOTA,,-7.77531,112.033248,,,,EA192,D0,,
PJU DS KELING T95,514060760521,DN KELING,P3,800.0,3.0,TAGSASI 375,51406.0,KAB,PARE,,-7.775464,112.241211,,,,EF095,B0,,
PJU GENENGAN ( 192 ),514010618973,DS GENENGAN,P3,2800.0,3.0,TAGSASI 375,51401.0,KAB,KEDIRI KOTA,,-7.775465,112.033571,,,,EA192,D0,,
PJ DS KELING / 95,514060651032,DN KELING,P3,5200.0,3.0,TAGSASI 375,51406.0,KAB,PARE,,-7.775468,112.241195,,,,EF095,B0,,
PJU DS KALIPANG 96,514111113147,DS KALIPANG,P3,2200.0,1.0,METER,51411.0,KAB,GROGOL,1000.0,-7.775548,111.905241,SMARTMETER,SMI 200 S,172426053,EN096,D1C1D1,,
PJU PUTIH (037),514010782166,DS PUTIH,P3,3500.0,1.0,METER,51401.0,KAB,KEDIRI KOTA,1591.0,-7.775619,112.020671,METBELOSA,OB91LU,2491030,EA037,C4,,
PJU,514060382174,JL MASTRIP,P3,7700.0,1.0,METER,51406.0,KAB,PARE,3500.0,-7.775682,112.195623,MELCOINDA,INDO,94002031,EF056,A2,,
PJU KARANG TENGAH EF095,514060880576,DN TEUKU UMAR,P3,5500.0,1.0,METER,51406.0,KAB,PARE,2500.0,-7.775801,112.239746,MELCOINDA,MS98E,8936854,EF095,D5,,
PJU DS MARON,514110675173,DS MARON KEC BANYAKAN,P3,23000.0,3.0,TAGSASI 375,51411.0,KAB,GROGOL,,-7.775809,111.990458,,,,EN155,D0,,
PERTIGAAN TK GD SEWU,514060639455,DN GEDANG SEWU,P3,500.0,3.0,TAGSASI 375,51406.0,KAB,PARE,,-7.775829,112.191289,,,,EF156,D6,,
PJU KEPUNG BARAT EF095,514060879607,DN KEPUNG BARAT,P3,4400.0,1.0,METER,51406.0,KAB,PARE,2000.0,-7.775882,112.239455,MELCOINDA,MS98E,8798738,EF095,B6,,
PENERANGAN JALAN GD 56,514060727173,JL MASTRIP,P3,3500.0,1.0,METER,51406.0,KAB,PARE,1591.0,-7.776120,112.195545,CANNET,DDS137,50902036057,EF056,A0,,
PJU DS BANYAKAN 559,514111113113,DS BANYAKAN,P3,4400.0,1.0,METER,51411.0,KAB,GROGOL,2000.0,-7.776235,111.991383,CANNET,DDS137,50904288730,EN155,B1C7,,
PJU DS MANYARAN BANYAKAN,514110675165,DS MANYARAN BANYAKAN,P3,16500.0,3.0,TAGSASI 375,51411.0,KAB,GROGOL,,-7.776283,111.966995,,,,EN435,B0,,
PJU PERUM GRAND SURYA ASR,514010833918,DS GRAND SURYA ASRI,P3,900.0,1.0,METER,51401.0,KAB,KEDIRI KOTA,409.0,-7.776375,112.045195,HEXING,HXE12CP,50904229114,EA319,B2C2D3C5,,
PJU SAMBIREJO T.263,514061240217,DN SAMBIREJO NO 0 SAMBIREJO,P3,4400.0,1.0,METER,51406.0,KAB,PARE,2000.0,-7.776610,112.145228,MELCOINDA,MS98E,8936455,EF263,B0,,
PJ DN BUKAAN KELING / 100,514060651040,JL BUKAAN,P3,600.0,3.0,TAGSASI 375,51406.0,KAB,PARE,,-7.776918,112.248952,,,,EF100,A0,,
PJU KELING (100),514060646154,DN KELING,P3,1500.0,3.0,TAGSASI 375,51406.0,KAB,PARE,,-7.776936,112.248955,,,,EF100,A0,,
PJU WATES PAGU,514011071713,DS WATES,P3,5500.0,1.0,METER,51401.0,KAB,KEDIRI KOTA,2500.0,-7.776958,112.071388,SMARTMETER,SMI200S,184999468,EA217,A6,,
PJU TERTEK,514060622236,DN TERTEK,P3,100.0,3.0,TAGSASI 375,51406.0,KAB,PARE,,-7.776972,112.207299,,,,EF080,A0,,
PJU GARDU 80,514060727269,DN PANGLIMA POLIM,P3,7700.0,1.0,METER,51406.0,KAB,PARE,3500.0,-7.776989,112.207290,MELCOINDA,INDO,94003644,EF080,C0,,
PJU DS JABON 103,514111113188,DS JABON 103,P3,4400.0,1.0,METER,51411.0,KAB,GROGOL,2000.0,-7.777039,112.010999,SMARTMETER,SMI 200 S,172427323,EN258,A4,,
PJU TIRON,514111094169,DS TIRON,P3,3500.0,1.0,METER,51411.0,KAB,GROGOL,1591.0,-7.777205,111.933526,SMARTMETER,SMI 200 S,162575323,EN637,B14,,
PJU BABADAN 251 C3,514060879511,DN BABADAN,P3,2200.0,1.0,METER,51406.0,KAB,PARE,1000.0,-7.777315,112.249017,CANNET,DDS137,50903425770,EF100,C1,,
PJU KALI NANAS 611,514111113258,DS KALI NANAS KALIPANG,P3,2200.0,1.0,METER,51411.0,KAB,GROGOL,1000.0,-7.777432,111.899794,SMARTMETER,SMI 200 S,172421196,EN611,C1,,
PJU TANJUNG ( 217 ),514011047578,DS TANJUNG,P3,3500.0,1.0,METER,51401.0,KAB,KEDIRI KOTA,1591.0,-7.777521,112.066943,SMARTMETER,SMI-200S,172278292,EA217,C0A1D7,,
PJU SIMPANG TIGA,514060588858,JL KENCONG,P3,500.0,3.0,TAGSASI 375,51406.0,KAB,PARE,,-7.777580,112.232169,,,,EF113,B13,,
PJU BETONAN EF113,514060880592,DN BETONAN,P3,3500.0,1.0,METER,51406.0,KAB,PARE,1591.0,-7.777584,112.232154,METBELOSA,OB91LU,2491562,EF113,B13,,
PJU DS MANYARAN EN435 (M),514110794098,DS MANYARAN,P3,5500.0,1.0,METER,51411.0,KAB,GROGOL,2500.0,-7.777654,111.962571,SMARTMETER,SMI 200 S,1400,EN435,D10,,
PJU PERBATASAN KOTA - KAB,514110559239,DS MARON BANYAKAN,P3,5500.0,1.0,METER,51411.0,KAB,GROGOL,2500.0,-7.777706,111.994204,MELCOINDA,MS98E,8306738,EN155,B13,,
PJU GEDANG SEWU B,514060749581,JL GEDANG SEWU,P3,2200.0,1.0,METER,51406.0,KAB,PARE,1000.0,-7.777718,112.195330,METBELOSA,LOSA,2477843,EF156,B4,,
PJU SEMANDING,514010666110,DS SEMANDING,P3,5500.0,1.0,METER,51401.0,KAB,KEDIRI KOTA,2500.0,-7.777854,112.092147,ADTECH,ADOONAT58,30751,EA401,A0,,
PJU DN KRAMPYANG T 94 (M),514110793947,DS KRAMPYANG,P3,5500.0,1.0,METER,51411.0,KAB,GROGOL,2500.0,-7.778104,111.877467,SMARTMETER,SMI 200 S,12138962,EN094,D5,,
PJU DS. TANJUNG,514010600232,DS TANJUNG,P3,4400.0,1.0,METER,51401.0,KAB,KEDIRI KOTA,2000.0,-7.778487,112.070216,ADTECH,ADOONAT58,25814,EA217,A2B1,,
PJU SAMBIREJO T.048,514061240432,DN DS SAMBIREJO NO 0 SAMBIREJO,P3,5500.0,1.0,METER,51406.0,KAB,PARE,2500.0,-7.778525,112.141464,MELCOINDA,MS98E,8797819,EF048,B1,,
PJ DN KWAGEAN KRENCENG,514060651111,DN KWAGEAN,P3,1360.0,3.0,TAGSASI 375,51406.0,KAB,PARE,,-7.778704,112.221725,,,,EF203,A0,,
PJU DS MARON EN105 (A),514110826168,DS MARON,P3,5440.0,3.0,TAGSASI 375,51411.0,KAB,GROGOL,,-7.778746,111.983077,,,,EN105,A1,,
PJU DS JABON 103 B1C5,514111113154,DS JABON,P3,3500.0,1.0,METER,51411.0,KAB,GROGOL,1591.0,-7.778968,112.010246,SMARTMETER,SMI 200 S,,EN258,C2,,
PENERANGAN JALAN,514060727094,DN LETJEND SUTOYO,P3,5500.0,1.0,METER,51406.0,KAB,PARE,2500.0,-7.779067,112.204391,MELCOINDA,INDO,94002813,EF005,B0,,
PERTIGAAN BALAI DESA,514060639463,DN GEDANG SEWU,P3,500.0,3.0,TAGSASI 375,51406.0,KAB,PARE,,-7.779196,112.189667,,,,EF301,D13,,
PJU TIRON EN436 (M),514110794102,DS SAMBIREJO TIRON,P3,11000.0,1.0,METER,51411.0,KAB,GROGOL,5000.0,-7.779333,111.94857,SMARTMETER,SMI 200 S,130272406,EN352,D17,,
PJU NGANCAR 108,514060879481,DN REJOMULYO,P3,7700.0,1.0,METER,51406.0,KAB,PARE,3500.0,-7.779590,112.227580,METBELOSA,OB91Z,2491305,EF113,D0,,
PJU SIMP.EMPAT BULAWEN,514110579061,DN SAMBIREJO TIRON,P3,11000.0,3.0,TAGSASI 375,51411.0,KAB,GROGOL,,-7.779781,111.955566,SMARTMETER,SMI 200 S,130272417,EN275,A8,,
PJU DS MENANG,514010544679,DS MENANG,P3,4400.0,1.0,METER,51401.0,KAB,KEDIRI KOTA,2000.0,-7.779792,112.085242,ADTECH,ADOONAT58,25816,EA171,B5,,
PJU SUTOYO,514060621831,DN LETJEND SUTOYO,P3,1000.0,3.0,TAGSASI 375,51406.0,KAB,PARE,,-7.779799,112.206763,,,,EF078,A4D1,,
PJU DS. PUTIH,514010600329,DS PUTIH,P3,3500.0,3.0,TAGSASI 375,51401.0,KAB,KEDIRI KOTA,,-7.779873,112.015003,,,,EA512,A0,,
PJU PUTIH (512),514010619224,DS PUTIH,P3,1300.0,3.0,TAGSASI 375,51401.0,KAB,KEDIRI KOTA,,-7.779883,112.015012,,,,EA512,A0,,
PJU KWADUNGAN,514010666368,DN KWADUNGAN,P3,3500.0,1.0,METER,51401.0,KAB,KEDIRI KOTA,1591.0,-7.779908,112.051064,CANNET,DDS137,50903674203,EA318,A4D6,,
PJU DS MENANG,514010544661,DS SIMPANG TIGA,P3,1830.0,3.0,TAGSASI 375,51401.0,KAB,KEDIRI KOTA,,-7.77991,112.076054,,,,EA126,A1D12,,
PJU PUTIH (512),514010106842,DS GAMPENGREJO,P3,3500.0,1.0,METER,51401.0,KAB,KEDIRI KOTA,1591.0,-7.779969,112.014885,SMARTMETER,SMI 200 S,150001333,EA512,C1,,
PENERANGAN JALAN,514060041633,JL SIMPANG 3 KEPUNG,P3,1400.0,3.0,TAGSASI 375,51406.0,KAB,PARE,,-7.780073,112.207904,,,,EF078,A4B2,,
PJU MANYARAN,514111094185,DS MANYARAN',P3,2200.0,1.0,METER,51411.0,KAB,GROGOL,1000.0,-7.780078,111.972042,SMARTMETER,SMI 200 S,162579124,EN434,B2,,
PJU DIPONEGORO EF078,514060621815,DN DIPONEGORO,P3,3500.0,1.0,METER,51406.0,KAB,PARE,1591.0,-7.780166,112.207185,MELCOINDA,INDO,94005903,EF078,A3,,
PJU POJOK 218,514060879594,DN BANGSRI,P3,4400.0,1.0,METER,51406.0,KAB,PARE,2000.0,-7.780177,112.207184,METBELOSA,OB91Z,94005908,EF078,A3,,
PJU PUTIH,514010666496,DN PUTIH,P3,3500.0,1.0,METER,51401.0,KAB,KEDIRI KOTA,1591.0,-7.780247,112.014544,SMARTMETER,SMI 200 S,150018775,EA512,C3,,
P J U SAMBIREJO,514010608909,DS SAMBIREJO,P3,3500.0,1.0,METER,51401.0,KAB,KEDIRI KOTA,1591.0,-7.780368,112.031838,SMARTMETER,SMI 200,12610981,EA313,D1,,
PJU SAMBIREJO,514010666500,DS SAMBIREJO,P3,2400.0,3.0,TAGSASI 375,51401.0,KAB,KEDIRI KOTA,,-7.780514,112.032173,,,,EA313,B0,,
PJU KRENCENG 203,514060879769,DN KWAGEAN,P3,3500.0,1.0,METER,51406.0,KAB,PARE,1591.0,-7.780636,112.215539,METBELOSA,OB91Z,2491265,EF159,A1,,
PJU SAMBIREJO T. 192,514061240162,DN SAMBIREJO NO 0 SAMBIREJO,P3,3500.0,1.0,METER,51406.0,KAB,PARE,1591.0,-7.780718,112.134553,MELCOINDA,MS98E,8936450,EF192,B1,,
